大类,指令,说明,,,,,,
containerd /高级功能,ctr run --oom-kill-disable docker.io/library/nginx:latest my-nginx,禁用 OOM,,,,,,
containerd /高级功能,ctr run --pids-limit 100 docker.io/library/nginx:latest my-nginx,进程数限制,,,,,,
containerd /高级功能,ctr run --device /dev/sdc:/dev/xvdc docker.io/library/nginx:latest my-nginx,设备,,,,,,
containerd /高级功能,ctr run --sysctl net.ipv4.ip_forward=1 docker.io/library/nginx:latest my-nginx,sysctl,,,,,,
containerd /高级功能,ctr run --cgroup-parent /parent docker.io/library/nginx:latest my-nginx,cgroup 父组,,,,,,
containerd /高级功能,ctr run --env FOO=bar docker.io/library/nginx:latest my-nginx,环境变量,,,,,,
containerd /高级功能,ctr run --workdir /app docker.io/library/nginx:latest my-nginx,工作目录,,,,,,
containerd /高级功能,ctr run --user 1000:1000 docker.io/library/nginx:latest my-nginx,用户 ID,,,,,,
containerd /高级功能,ctr run --hostname myhost docker.io/library/nginx:latest my-nginx,主机名,,,,,,
containerd /高级功能,ctr run --dns 8.8.8.8 docker.io/library/nginx:latest my-nginx,DNS,,,,,,
containerd /高级功能,ctr run --add-host test:192.168.1.100 docker.io/library/nginx:latest my-nginx,hosts,,,,,,
containerd /高级功能,ctr run --expose 80/tcp docker.io/library/nginx:latest my-nginx,暴露端口,,,,,,
containerd /高级功能,ctr run --health-cmd curl -f http://localhost/" docker.io/library/nginx:latest my-nginx",健康检查,,,,,,
containerd /高级功能,ctr run --restart always docker.io/library/nginx:latest my-nginx,重启策略,,,,,,
containerd /高级功能,ctr run --log-driver json-file docker.io/library/nginx:latest my-nginx,日志驱动,,,,,,
containerd /集群和编排,cat /etc/containerd/config.toml,CRI 配置,,,,,,
containerd /集群和编排,kubectl get nodes,Kubernetes 节点,,,,,,
containerd /集群和编排,kubectl run nginx --image=docker.io/library/nginx:latest,Pod 创建,,,,,,
containerd /集群和编排,kubectl get pods,Pod 列表,,,,,,
containerd /集群和编排,kubectl logs pod-name,Pod 日志,,,,,,
containerd /集群和编排,kubectl exec -it pod-name -\/bin/bash,进入 Pod,,,,,,
containerd /集群和编排,kubectl expose pod pod-name --port=80 --type=NodePort,Service,,,,,,
containerd /集群和编排,kubectl create deployment nginx --image=docker.io/library/nginx:latest,Deployment,,,,,,
containerd /集群和编排,kubectl scale deployment nginx --replicas=3,扩展,,,,,,
containerd /集群和编排,kubectl set image deployment/nginx nginx=docker.io/library/nginx:1.21,更新,,,,,,
containerd /集群和编排,kubectl rollout undo deployment/nginx,回滚,,,,,,
containerd /集群和编排,kubectl create configmap my-config --from-literal=key=value,ConfigMap,,,,,,
containerd /集群和编排,kubectl create secret generic my-secret --from-literal=password=secret,Secret,,,,,,
containerd /集群和编排,kubectl create -f pv.yaml,PV 创建,,,,,,
containerd /集群和编排,kubectl create namespace my-ns,命名空间,,,,,,
containerd /集群和编排,"kubectl create quota my-quota --hard=cpu=1,memory=1G,pods=2",配额,,,,,,
containerd /集群和编排,"kubectl create limitrange my-limits --limits=default,cpu=500m,memory=512Mi",限制,,,,,,
containerd /集群和编排,kubectl create daemonset agent --image=agent:latest,DaemonSet,,,,,,
containerd /集群和编排,kubectl create statefulset web --replicas=3 --image=web:latest,StatefulSet,,,,,,
containerd /集群和编排,kubectl create job batch --image=batch:latest,Job,,,,,,
containerd /集群和编排,kubectl create cronjob backup --schedule=0 2 * * *" --image=backup:latest",CronJob,,,,,,
containerd /集群和编排,kubectl create ingress web-ingress --rule=/=web:80"",Ingress,,,,,,
containerd /集群和编排,kubectl create networkpolicy allow-web --ingress-rule=matchLabels(role=web)"",网络策略,,,,,,
containerd /集群和编排,"kubectl create role reader --verb=get,list --resource=pods",Role,,,,,,
containerd /集群和编排,kubectl create serviceaccount my-sa,ServiceAccount,,,,,,
containerd /故障排除,ctr tasks list,任务列表,,,,,,
containerd /故障排除,ctr tasks logs -f container-id,查看日志,,,,,,
containerd /故障排除,ctr run --net-host docker.io/library/busybox:latest test ping 8.8.8.8,网络测试,,,,,,
containerd /故障排除,ctr snapshots list,快照状态,,,,,,
containerd /故障排除,ctr tasks metrics,资源指标,,,,,,
Docker /镜像管理,docker pull nginx,拉取最新 nginx,,,,,,
Docker /镜像管理,docker pull nginx:1.21,拉取指定版本,,,,,,
Docker /镜像管理,docker pull ubuntu:20.04,Ubuntu 20.04,,,,,,
Docker /镜像管理,docker images,列出所有镜像,,,,,,
Docker /镜像管理,docker images -a,包括中间镜像,,,,,,
Docker /镜像管理,docker images --digests,显示摘要,,,,,,
Docker /镜像管理,docker search nginx,搜索 nginx,,,,,,
Docker /镜像管理,docker search --filter is-official=true nginx,官方镜像,,,,,,
Docker /镜像管理,docker search --filter stars=100 nginx,星级过滤,,,,,,
Docker /镜像管理,docker build -t myapp:1.0 .,从 Dockerfile 构建,,,,,,
Docker /镜像管理,docker build -t myapp:latest -f Dockerfile.prod .,指定 Dockerfile,,,,,,
Docker /镜像管理,docker build --no-cache -t myapp:dev .,不使用缓存,,,,,,
Docker /镜像管理,docker inspect nginx,镜像详细信息,,,,,,
Docker /镜像管理,docker inspect --format='{{.Architecture}}' nginx,架构信息,,,,,,
Docker /镜像管理,docker rmi nginx,删除镜像,,,,,,
Docker /镜像管理,docker rmi -f nginx,强制删除,,,,,,
Docker /镜像管理,docker image prune -a,清理未使用镜像,,,,,,
Docker /镜像管理,docker tag nginx:latest myregistry.com/nginx:1.0,添加标签,,,,,,
Docker /镜像管理,docker save -o nginx.tar nginx:latest,保存镜像,,,,,,
Docker /镜像管理,docker load -i nginx.tar,加载镜像,,,,,,
Docker /镜像管理,docker push myregistry.com/nginx:1.0,推送到仓库,,,,,,
Docker /镜像管理,docker push --all-tags myregistry.com/nginx,推送所有标签,,,,,,
Docker /镜像管理,docker login,登录 Docker Hub,,,,,,
Docker /镜像管理,docker login myregistry.com:5000,登录私有仓库,,,,,,
Docker /镜像管理,docker logout,登出,,,,,,
Docker /镜像管理,docker history nginx,查看镜像层,,,,,,
Docker /镜像管理,docker history --no-trunc nginx,完整信息,,,,,,
Docker /镜像管理,docker export container_id > container.tar,导出容器,,,,,,
Docker /镜像管理,docker import container.tar myimage:1.0,导入镜像,,,,,,
Docker /容器操作,docker create --name mycontainer nginx,创建容器,,,,,,
Docker /容器操作,docker create -it --name mycontainer ubuntu /bin/bash,交互式,,,,,,
Docker /容器操作,docker start mycontainer,启动容器,,,,,,
Docker /容器操作,docker start -ai mycontainer,启动并附加,,,,,,
Docker /容器操作,docker run nginx,运行 nginx,,,,,,
Docker /容器操作,docker run -d --name web nginx,后台运行,,,,,,
Docker /容器操作,docker run -it ubuntu /bin/bash,交互式运行,,,,,,
Docker /容器操作,docker run --rm nginx,退出后删除,,,,,,
Docker /容器操作,docker stop mycontainer,正常停止,,,,,,
Docker /容器操作,docker stop -t 30 mycontainer,30 秒超时,,,,,,
Docker /容器操作,docker kill mycontainer,强制停止,,,,,,
Docker /容器操作,docker restart mycontainer,重启容器,,,,,,
Docker /容器操作,docker restart -t 10 mycontainer,10 秒超时,,,,,,
Docker /容器操作,docker pause mycontainer,暂停容器,,,,,,
Docker /容器操作,docker unpause mycontainer,恢复容器,,,,,,
Docker /容器操作,docker ps,运行中的容器,,,,,,
Docker /容器操作,docker ps -a,所有容器,,,,,,
Docker /容器操作,docker ps -l,最后一个容器,,,,,,
Docker /容器操作,docker ps --filter status=exited"",过滤状态,,,,,,
Docker /容器操作,docker inspect mycontainer,详细信息,,,,,,
Docker /容器操作,docker inspect --format='{{.NetworkSettings.IPAddress}}' mycontainer,IP 地址,,,,,,
Docker /容器操作,docker rm mycontainer,删除容器,,,,,,
Docker /容器操作,docker rm -f mycontainer,强制删除,,,,,,
Docker /容器操作,docker container prune,清理停止的容器,,,,,,
Docker /容器操作,docker rename old_name new_name,重命名容器,,,,,,
Docker /容器执行和日志,docker exec mycontainer ls /,执行命令,,,,,,
Docker /容器执行和日志,docker exec -it mycontainer /bin/bash,交互式执行,,,,,,
Docker /容器执行和日志,docker exec -u root mycontainer command,以 root 身份,,,,,,
Docker /容器执行和日志,docker logs mycontainer,查看日志,,,,,,
Docker /容器执行和日志,docker logs -f mycontainer,跟随日志,,,,,,
Docker /容器执行和日志,docker logs --tail 100 mycontainer,最后 100 行,,,,,,
Docker /容器执行和日志,docker logs --since 2026-01-01 mycontainer,时间过滤,,,,,,
Docker /容器执行和日志,docker logs --timestamps mycontainer,显示时间戳,,,,,,
Docker /容器执行和日志,docker top mycontainer,容器进程,,,,,,
Docker /容器执行和日志,docker stats mycontainer,资源统计,,,,,,
Docker /容器执行和日志,docker cp file.txt mycontainer:/path/,复制到容器,,,,,,
Docker /容器执行和日志,docker cp mycontainer:/path/file.txt .,从容复制,,,,,,
Docker /容器执行和日志,docker diff mycontainer,查看变更,,,,,,
Docker /网络配置,docker run -p 8080:80 nginx,映射端口,,,,,,
Docker /网络配置,docker run -p 127.0.0.1:8080:80 nginx,指定 IP,,,,,,
Docker /网络配置,docker run -p 8080:80 -p 443:443 nginx,多端口,,,,,,
Docker /网络配置,docker network ls,网络列表,,,,,,
Docker /网络配置,docker network inspect bridge,网络详情,,,,,,
Docker /网络配置,docker network create mynet,创建网络,,,,,,
Docker /网络配置,docker network create --driver bridge mynet,桥接网络,,,,,,
Docker /网络配置,docker network create --subnet=172.18.0.0/16 mynet,指定子网,,,,,,
Docker /网络配置,docker network connect mynet mycontainer,连接到网络,,,,,,
Docker /网络配置,docker network disconnect mynet mycontainer,断开网络,,,,,,
Docker /网络配置,docker run --network host nginx,主机网络,,,,,,
Docker /网络配置,docker run --network none nginx,无网络,,,,,,
Docker /网络配置,docker run --network container:web nginx,共享容器网络,,,,,,
Docker /网络配置,docker run --link db:mysql,链接容器（已废弃）,,,,,,
Docker /网络配置,docker run --network mynet mysql,使用网络代替,,,,,,
Docker /存储管理,docker run -v /host/data:/container/data nginx,挂载卷,,,,,,
Docker /存储管理,docker run -v data-volume:/var/lib/mysql mysql,命名卷,,,,,,
Docker /存储管理,docker run -v /host/data:/container/data:ro nginx,只读挂载,,,,,,
Docker /存储管理,"docker run --tmpfs /app:rw,size=100m nginx",tmpfs 挂载,,,,,,
Docker /存储管理,"docker run --mount type=bind,source=/host/file,target=/container/file,readonly nginx",绑定,,,,,,
Docker /存储管理,docker volume ls,卷列表,,,,,,
Docker /存储管理,docker volume inspect myvolume,卷详情,,,,,,
Docker /存储管理,docker volume create myvolume,创建卷,,,,,,
Docker /存储管理,docker volume rm myvolume,删除卷,,,,,,
Docker /存储管理,docker volume prune,清理未使用卷,,,,,,
Docker /存储管理,docker run -v /var/lib/mysql mysql,MySQL 数据,,,,,,
Docker /存储管理,docker run -v /data/postgres:/var/lib/postgresql/data postgres,PostgreSQL,,,,,,
Docker /Docker Compose,docker-compose up,启动服务,,,,,,
Docker /Docker Compose,docker-compose up -d,后台启动,,,,,,
Docker /Docker Compose,docker-compose up --build,重新构建,,,,,,
Docker /Docker Compose,docker-compose down,停止服务,,,,,,
Docker /Docker Compose,docker-compose down -v,删除卷,,,,,,
Docker /Docker Compose,docker-compose down --rmi all,删除镜像,,,,,,
Docker /Docker Compose,docker-compose ps,服务状态,,,,,,
Docker /Docker Compose,docker-compose logs,查看日志,,,,,,
Docker /Docker Compose,docker-compose logs -f service,跟随日志,,,,,,
Docker /Docker Compose,docker-compose start,启动服务,,,,,,
Docker /Docker Compose,docker-compose stop,停止服务,,,,,,
Docker /Docker Compose,docker-compose restart,重启服务,,,,,,
Docker /Docker Compose,docker-compose pause,暂停服务,,,,,,
Docker /Docker Compose,docker-compose unpause,恢复服务,,,,,,
Docker /Docker Compose,docker-compose up -d --scale web=3,扩展到 3 个实例,,,,,,
Docker /Docker Compose,docker-compose exec web bash,进入容器,,,,,,
Docker /Docker Compose,docker-compose run web command,运行命令,,,,,,
Docker /Docker Compose,docker-compose build,构建服务,,,,,,
Docker /Docker Compose,docker-compose build --no-cache,不使用缓存,,,,,,
Docker /Docker Compose,docker-compose pull,拉取镜像,,,,,,
Docker /Dockerfile 指令,FROM ubuntu:20.04,基础镜像,,,,,,
Docker /Dockerfile 指令,FROM ubuntu:20.04 AS builder,多阶段构建,,,,,,
Docker /Dockerfile 指令,RUN apt-get update && apt-get install -y nginx,安装软件,,,,,,
Docker /Dockerfile 指令,RUN mkdir -p /app,创建目录,,,,,,
Docker /Dockerfile 指令,CMD [nginx", "-g", "daemon off;"]",默认命令,,,,
Docker /Dockerfile 指令,CMD command,shell 格式,,,,,,
Docker /Dockerfile 指令,ENTRYPOINT [/app/start.sh"]",入口点,,,,,,
Docker /Dockerfile 指令,ENTRYPOINT [python"]",Python 入口,,,,,,
Docker /Dockerfile 指令,COPY . /app,复制文件,,,,,,
Docker /Dockerfile 指令,COPY --chown=user:group file /app,指定所有者,,,,,,
Docker /Dockerfile 指令,ADD app.tar.gz /app/,解压 tar,,,,,,
Docker /Dockerfile 指令,ADD https://example.com/file /app/,下载文件,,,,,,
Docker /Dockerfile 指令,WORKDIR /app,工作目录,,,,,,
Docker /Dockerfile 指令,ENV APP_HOME=/app,环境变量,,,,,,
Docker /Dockerfile 指令,ENV NODE_ENV=production,生产环境,,,,,,
Docker /Dockerfile 指令,ARG VERSION=1.0,构建参数,,,,,,
Docker /Dockerfile 指令,ARG BUILD_DATE,构建日期,,,,,,
Docker /Dockerfile 指令,EXPOSE 80,暴露端口,,,,,,
Docker /Dockerfile 指令,EXPOSE 443/tcp,TCP 端口,,,,,,
Docker /Dockerfile 指令,VOLUME [/data"]",数据卷,,,,,,
Docker /Dockerfile 指令,VOLUME /var/lib/mysql,MySQL 卷,,,,,,
Docker /Dockerfile 指令,USER www-data,切换用户,,,,,,
Docker /Dockerfile 指令,USER 1000:1000,UID:GID,,,,,,
Docker /Dockerfile 指令,HEALTHCHECK CMD curl -f http://localhost/ || exit 1,健康检查,,,,,,
Docker /Dockerfile 指令,HEALTHCHECK --interval=30s --timeout=3s CMD curl -f http://localhost/,详细配置,,,,,,
Docker /Dockerfile 指令,LABEL maintainer=john@example.com"",维护者,,,,,,
Docker /Dockerfile 指令,LABEL version=1.0"",版本,,,,,,
Docker /Dockerfile 指令,STOPSIGNAL SIGTERM,停止信号,,,,,,
Docker /Dockerfile 指令,STOPSIGNAL SIGINT,中断信号,,,,,,
Docker /安全配置,docker run --privileged ubuntu,特权容器,,,,,,
Docker /安全配置,docker run --cap-drop ALL --cap-add NET_ADMIN nginx,能力控制,,,,,,
Docker /安全配置,docker run --security-opt apparmor=profile nginx,AppArmor,,,,,,
Docker /安全配置,docker run --security-opt seccomp=profile.json nginx,Seccomp,,,,,,
Docker /安全配置,docker run --security-opt label:disable nginx,SELinux,,,,,,
Docker /安全配置,docker run --read-only nginx,只读根文件系统,,,,,,
Docker /安全配置,docker run --read-only --tmpfs /tmp nginx,tmpfs 例外,,,,,,
Docker /安全配置,docker run --userns=host nginx,用户命名空间,,,,,,
Docker /安全配置,docker run --security-opt no-new-privileges nginx,禁止新权限,,,,,,
Docker /安全配置,docker run --memory=512m nginx,内存限制,,,,,,
Docker /安全配置,docker run --cpus=1.5" nginx",CPU 限制,,,,,,
Docker /安全配置,docker run --pids-limit=100 nginx,进程数限制,,,,,,
Docker /安全配置,docker run --oom-kill-disable nginx,禁用 OOM,,,,,,
Docker /安全配置,docker run --oom-score-adj=-500 nginx,OOM 优先级,,,,,,
Docker /监控和调试,docker info,Docker 信息,,,,,,
Docker /监控和调试,docker version,版本信息,,,,,,
Docker /监控和调试,docker system df,磁盘使用,,,,,,
Docker /监控和调试,docker events,实时事件,,,,,,
Docker /监控和调试,docker events --filter 'type=container',容器事件,,,,,,
Docker /监控和调试,docker stats,实时统计,,,,,,
Docker /监控和调试,docker stats --no-stream,一次性统计,,,,,,
Docker /监控和调试,docker inspect --format='{{.State.Health.Status}}' mycontainer,健康状态,,,,,,
Docker /监控和调试,docker inspect --format='{{range .NetworkSettings.Networks}}{{.IPAddress}}{{end}}' mycontainer,IP,,,,,,
Docker /监控和调试,docker history --human=false nginx,层大小,,,,,,
Docker /监控和调试,docker scout cve nginx,漏洞扫描,,,,,,
Docker /监控和调试,docker run --log-driver json-file nginx,JSON 日志,,,,,,
Docker /监控和调试,docker run --log-driver syslog nginx,Syslog 日志,,,,,,
Docker /监控和调试,docker run --log-driver fluentd nginx,Fluentd 日志,,,,,,
Docker /高级功能,DOCKER_BUILDKIT=1 docker build -t myapp .,启用 BuildKit,,,,,,
Docker /高级功能,docker buildx create --use,创建 builder,,,,,,
Docker /高级功能,"docker buildx build --platform linux/amd64,linux/arm64 -t myapp .",多架构,,,,,,
Docker /高级功能,docker checkpoint create mycontainer checkpoint1,创建检查点,,,,,,
